"ErrorDescription";"Pricebook2Id";"Product2Id";"UnitPrice";"sku_as_id__c"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymquQAA";"14.99";"TL-NVI9-FFAG"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqvQAA";"14.99";"TQ-7OZ5-U2SL"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqwQAA";"14.99";"TU-GN7S-OMYL"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqxQAA";"12.99";"TU-SB8I-MPLC"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqyQAA";"14.99";"TV-FC8A-93HT"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymqzQAA";"14.99";"U5-371Z-FEFI"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymr0QAA";"11.18";"U9-KQEC-BZEK"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymr1QAA";"14.99";"UK-WAKJ-AFUW"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymr2QAA";"3";"UQ-GAIX-Z3C7"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymr3QAA";"12.99";"VG-E7HQ-0M3D"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymr4QAA";"12.99";"VJ-PKRQ-JNP8"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymr5QAA";"69.99";"VX-18SJ-BCQK"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymr6QAA";"9.99";"X1-U5YJ-8JR0"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymr7QAA";"12.99";"X7-SEJ5-6HIV"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymr8QAA";"12.99";"XV-RBU8-5R55"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymr9QAA";"12.99";"XZ-YNBL-89NN"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymrAQAQ";"7.99";"Y5-TSEB-JLV4"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymrBQAQ";"9.99";"YR-LUZJ-RIVM"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymrCQAQ";"12.99";"ZJ-39GB-BJRV"
